〇	[〇_j]
㙯	[土八土丸二厶_b_o_b_qya_bd_zs]
㙰	[⺈{用}刀牛土_r_ld_yd_mb_b]
㙱	[口一㇉虎土_j_a_z_ih_b]
㙲	[土亠㇜{亥中}隹_b_s_z_zm_ni]
㙳	[土戊一口心_b_hm_a_j_wz]
㙴	[土⺈厂八言_b_r_gg_o_s]
㙵	[土亠口{冋}土_b_s_j_ld_b]
㙶	[亠口⺌冖口土_s_j_ko_ww_j_b]
㙷	[土日㇜厶㇜厶灬_b_k_z_zs_z_zs_uo]
㙸	[土亻业{菐下}_b_n_ku_uc]
㙹	[土艹罒冖夕_b_e_lk_ww_rs]
㙺	[土匚口丨一貝_b_h_j_i_a_lo]
㙻	[土广日土八土_b_tg_k_b_o_b]
㙼	[土田田田_b_ki_ki_ki]
㙽	[土大一白一白_b_gd_a_nk_a_nk]
㙾	[土{𦥯框}㐅乂子_b_nb_os_os_ya]
㙿	[土⺷禾㇡丿戈_b_uc_mf_y_m_hm]
㚀	[土虍一口䒑戈_b_ih_a_j_ua_hm]
㚁	[土土土兀土土土兀_b_b_b_gr_b_b_b_gr]
㚂	[土一口丨冖口口{冓上}𧘇_b_a_j_i_ww_j_j_eb_rh]
㚃	[士冖㐅凵䒑_b_ww_os_zi_ua]
㚄	[士冖田乛龰_b_ww_ki_x_ii]
㚅	[夂一生_rs_a_mc]
㚆	[亠日夊_s_k_rs]
㚇	[㐅凵八夊_os_zi_o_rs]
㚈	[夕十_rs_ed]
㚉	[㇡丿夕夕_y_m_rs_rs]
㚊	[夕夕亠{亥中}人_rs_rs_s_zm_od]
㚋	[夕夕⺆土口_rs_rs_ld_b_j]
㚌	[夕夕日木_rs_rs_k_f]
㚍	[夕夕口丨一貝_rs_rs_j_i_a_lo]
㚎	[大凵_gd_zi]
㚏	[大廾_gd_e]
㚐	[大大_gd_gd]
㚑	[⺕大_xb_gd]
㚒	[大入入_gd_oda_oda]
㚓	[大木_gd_f]
㚔	[大{幸下}_gd_ub]
㚕	[大弓{丿丨}_gd_yz_nd]
㚖	[白大_nk_gd]
㚗	[大且_gd_lc]
㚘	[二人二人_bd_od_bd_od]
㚙	[力口大_ym_j_gd]
㚚	[大夕口_gd_rs_j]
㚛	[大匕日_gd_rr_k]
㚜	[大戈口一_gd_hm_j_a]
㚝	[大亻土土_gd_n_b_b]
㚞	[大木木_gd_f_f]
㚟	[⺈口匕匕大_r_j_rr_rr_gd]
㚠	[大⺷灬_gd_uc_uo]
㚡	[大丁口大丁口_gd_ai_j_gd_ai_j]
㚢	[亻女_n_zm]
㚣	[女女_zm_zm]
㚤	[女弋_zm_hs]
㚥	[女一{于下}_zm_a_d]
㚦	[女一{丿丨}_zm_a_nd]
㚧	[女广_zm_tg]
㚨	[女⺄十_zm_yda_ed]
㚩	[女冂二_zm_ld_bd]
㚪	[女毛_zm_mh]
㚫	[女㇋丿㇏_zm_y_m_s]
㚬	[女勹冫_zm_ry_td]
㚭	[女尤_zm_gr]
㚮	[女冖几_zm_ww_qd]
㚯	[女⺇㐅_zm_qd_os]
㚰	[女不一_zm_gi_a]
㚱	[女丘_zm_pda]
㚲	[女⺊口_zm_id_j]
㚳	[女力口_zm_ym_j]
㚴	[女𠂇巾_zm_gd_li]
㚵	[女夂⺀_zm_rs_td]
㚶	[女㠯_zm_y]
㚷	[女人小_zm_od_ko]
㚸	[女㇆一口_zm_y_a_j]
㚹	[女{卬左}丿卩_zm_rh_m_y]
㚺	[女㇡丿子_zm_y_m_ya]
㚻	[田女_ki_zm]
㚼	[女田_zm_ki]
㚽	[工一㇉女_bi_a_z_zm]
㚾	[女口儿_zm_j_rd]
㚿	[女包_zm_ry]
㛀	[女⺈⺕_zm_r_xb]
㛁	[女一{伞下}_zm_a_ua]
㛂	[女⺁巴_zm_pd_yia]
㛃	[丰刀女_ci_yd_zm]
㛄	[女亠𧘇_zm_s_rh]
㛅	[女耳_zm_ce]
㛆	[女㇡丿木_zm_y_m_f]
㛇	[女广土_zm_tg_b]
㛈	[女耂一㇉_zm_bm_a_z]
㛉	[女西_zm_fj]
㛊	[女几木_zm_qd_f]
㛋	[女人⺗_zm_od_u]
㛌	[女厶牛_zm_zs_mb]
㛍	[女大人人_zm_gd_od_od]
㛎	[女口口_zm_j_j]
㛏	[女{于下}∷丶_zm_d_v_s]
㛐	[女一日乂_zm_a_k_os]
㛑	[⺊夕又女_id_rs_xs_zm]
㛒	[女一口䒑_zm_a_j_ua]
㛓	[女㐅𠂇巾_zm_os_gd_li]
㛔	[女夂丰_zm_rs_ci]
㛕	[女口巴_zm_j_yia]
㛖	[女厶八夊_zm_zs_o_rs]
㛗	[女人人土_zm_od_od_b]
㛘	[女十冖子_zm_ed_ww_ya]
㛙	[女辛_zm_se]
㛚	[女龴{甬下}_zm_xs_ld]
㛛	[女身_zm_nc]
㛜	[亻丨攵女_n_i_mo_zm]
㛝	[女貝_zm_lo]
㛞	[女王廾_zm_c_e]
㛟	[女⺈冂大_zm_r_ld_gd]
㛠	[女门日_zm_tl_k]
㛡	[女宀二儿_zm_wd_bd_rd]
㛢	[女禾㇡丿_zm_mf_y_m]
㛣	[女口贝_zm_j_lo]
㛤	[女一{冂块}{冂块}_zm_a_ld_ld]
㛥	[女水日_zm_kv_k]
㛦	[女木木_zm_f_f]
㛧	[女山石_zm_ll_g]
㛨	[女⺶乚_zm_uc_z]
㛩	[女亠厶⺝_zm_s_zs_q]
㛪	[女大日乚_zm_gd_k_z]
㛫	[女日勹{丿丿}_zm_k_ry_od]
㛬	[女土八土_zm_b_o_b]
㛭	[女龷日_zm_ea_k]
㛮	[女宀火又_zm_wd_uo_xs]
㛯	[女⺈口儿力_zm_r_j_rd_ym]
㛰	[女{巳}{七}日_zm_yyb_hd_k]
㛱	[女田{畏下}_zm_ki_h]
㛲	[女頁_zm_go]
㛳	[亠丷冖巾女_s_ud_ww_li_zm]
㛴	[女巛{囟框}㐅_zm_zd_nj_os]
㛵	[女爫冂土_zm_pv_ld_b]
㛶	[女山𠂇火_zm_ll_gd_uo]
㛷	[禾尤女_mf_gr_zm]
㛸	[女士口䒑_zm_b_j_ua]
㛹	[女亻一日乂_zm_n_a_k_os]
㛺	[女立日_zm_su_k]
㛻	[女大土土_zm_gd_b_b]
㛼	[女千臼_zm_me_nb]
㛽	[女宀米_zm_wd_uf]
㛾	[女戊一口_zm_hm_a_j]
㛿	[女{带上}冖巾_zm_e_ww_li]
㜀	[女木目_zm_f_l]
㜁	[女木日一_zm_f_k_a]
㜂	[土土寸女_b_b_ds_zm]
㜃	[女亻言_zm_n_s]
㜄	[女風_zm_qi]
㜅	[女亠㇜厶田_zm_s_z_zs_ki]
㜆	[女辶米_zm_w_uf]
㜇	[女土土心_zm_b_b_wz]
㜈	[龴乛亅丿夂力女_xs_x_i_m_rs_ym_zm]
㜉	[女巛口巴_zm_zd_j_yia]
㜊	[女尸卄{畏下}_zm_xm_e_h]
㜋	[女䒑八皿_zm_ua_o_lka]
㜌	[士冖一女殳_b_ww_a_zm_qx]
㜍	[女广肀口_zm_tg_xb_j]
㜎	[女爫㇜厶大_zm_pv_z_zs_gd]
㜏	[女口貝_zm_j_lo]
㜐	[女山一口䒑_zm_ll_a_j_ua]
㜑	[氵甫女_v_fb_zm]
㜒	[女臼廾_zm_nb_e]
㜓	[女艹人一口_zm_e_od_a_j]
㜔	[女立口儿_zm_su_j_rd]
㜕	[女辶車_zm_w_fk]
㜖	[女卄日日_zm_e_k_k]
㜗	[女厶厶厶人彡_zm_zs_zs_zs_od_pd]
㜘	[女虍且_zm_ih_lc]
㜙	[女鹿_zm_tx]
㜚	[女宀亻一白_zm_wd_n_a_nk]
㜛	[女車欠_zm_fk_ro]
㜜	[女龶{万下}攵_zm_ci_ym_mo]
㜝	[女人丶㇇酉_zm_od_s_x_fd]
㜞	[車斤女_fk_pd_zm]
㜟	[女乛耳攵_zm_x_ce_mo]
㜠	[女山隹_zm_ll_ni]
㜡	[女彳人人龰_zm_oi_od_od_ii]
㜢	[女{婁上}女_zm_kj_zm]
㜣	[女{炙上}大丶灬_zm_rs_gd_s_uo]
㜤	[女覀日十_zm_fj_k_ed]
㜥	[女罒貝_zm_lk_lo]
㜦	[女⺕工口寸_zm_xb_bi_j_ds]
㜧	[女厂䒑{艸左}欠_zm_gg_ua_zi_ro]
㜨	[女尸氺牛_zm_xm_kv_mb]
㜩	[女{向框}米大_zm_nl_uf_gd]
㜪	[立朩斤女_su_f_pd_zm]
㜫	[女彳山一几攵_zm_oi_ll_a_qd_mo]
㜬	[女⺈厂八言_zm_r_gg_o_s]
㜭	[女⺌冖口田_zm_ko_ww_j_ki]
㜮	[女臣{⺮半}皿_zm_h_m_lka]
㜯	[女{𦣝}巳灬_zm_h_yyb_uo]
㜰	[女㇜厶白㇜厶木_zm_z_zs_nk_z_zs_f]
㜱	[女斤斤貝_zm_pd_pd_lo]
㜲	[女亡口月女凡_zm_sh_j_q_zm_qda]
㜳	[女亠罒氺𧘇_zm_s_lk_kv_rh]
㜴	[女艹罒冖目_zm_e_lk_ww_l]
㜵	[女亠馬𧘇_zm_s_cu_rh]
㜶	[女⺈口匕匕⺈口儿丶_zm_r_j_rr_rr_r_j_rd_s]
㜷	[弓一八巾㐅乂㐅乂女_yz_a_o_li_os_os_os_os_zm]
㜸	[艹丿㠯辛女_e_m_y_se_zm]
㜹	[女目目隹_zm_l_l_ni]
㜺	[女⺧儿⺧儿貝_zm_mb_rd_mb_rd_lo]
㜻	[女龻心_zm_zs_wz]
㜼	[女田田田冖且_zm_ki_ki_ki_ww_lc]
㜽	[巛子_zd_ya]
㜾	[子人{丿丨}_ya_od_nd]
㜿	[子龴乛亅_ya_xs_x_i]
㝀	[母子_zy_ya]
㝁	[勹日子_ry_k_ya]
㝂	[子扌斤_ya_d_pd]
㝃	[子⺈口儿_ya_r_j_rd]
㝄	[亠口子七凵_s_j_ya_hd_zi]
㝅	[士冖一子殳_b_ww_a_ya_qx]
㝆	[子士口䒑口_ya_b_j_ua_j]
㝇	[亠口子亠口子_s_j_ya_s_j_ya]
㝈	[龻子子_zs_ya_ya]
㝉	[宀一_wd_a]
㝊	[宀又_wd_xs]
㝋	[宀了_wd_y]
㝌	[宀𠂊㇏_wd_r_s]
㝍	[宀一㇉一_wd_a_z_a]
㝎	[宀之_wd_w]
㝏	[宀人{丿丨}_wd_od_nd]
㝐	[宀八厶_wd_o_zs]
㝑	[宀方_wd_sy]
㝒	[宀十口_wd_ed_j]
㝓	[宀人一口_wd_od_a_j]
㝔	[宀亠八乂_wd_s_o_os]
㝕	[宀心又_wd_wz_xs]
㝖	[宀夕夕_wd_rs_rs]
㝗	[宀丶艮_wd_s_xo]
㝘	[宀言_wd_s]
㝙	[宀王一八_wd_c_a_o]
㝚	[宀廴丿止_wd_y_m_ii]
㝛	[宀亻一囗人_wd_n_a_jd_od]
㝜	[宀龷日_wd_ea_k]
㝝	[宀木木_wd_f_f]
㝞	[宀亞_wd_bz]
㝟	[宀一見_wd_a_lr]
㝠	[宀日亠八_wd_k_s_o]
㝡	[宀耳又_wd_ce_xs]
㝢	[宀丿虫冂_wd_m_i_ld]
㝣	[宀丰刀大_wd_ci_yd_gd]
㝤	[宀{冓上}冂土_wd_eb_ld_b]
㝥	[宀爿米_wd_zi_uf]
㝦	[宀隹㇡丿_wd_ni_y_m]
㝧	[宀女人人土_wd_zm_od_od_b]
㝨	[宀土口𧘇_wd_b_j_rh]
㝩	[宀广⺕氺_wd_tg_xb_kv]
㝪	[宀土{幸下}丸_wd_b_ub_qya]
㝫	[宀阝夂一生_wd_y_rs_a_mc]
㝬	[宀丰口二人_wd_ci_j_bd_od]
㝭	[宀忄日生_wd_u_k_mc]
㝮	[宀屮凵示又_wd_zi_zi_bk_xs]
㝯	[宀丿大口{冋}_wd_m_gd_j_ld]
㝰	[宀自穴方_wd_nl_wo_sy]
㝱	[宀爿艹罒冖夕_wd_zi_e_lk_ww_rs]
㝲	[宀爿艹罒冖⺕冖巾_wd_zi_e_lk_ww_xb_ww_li]
㝳	[一⺗_a_u]
㝴	[二儿寸_bd_rd_ds]
㝵	[日一寸_k_a_ds]
㝶	[罒儿寸_lk_rd_ds]
㝷	[⺕工丸寸_xb_bi_qya_ds]
㝸	[小白儿_ko_nk_rd]
㝹	[小丿⺈口儿丶_ko_m_r_j_rd_s]
㝺	[䒑{兼下}小丿_ua_xk_ko_m]
㝻	[廿口龶小丿_ea_j_ci_ko_m]
㝼	[尢一{于下}_gr_a_d]
㝽	[尢水_gr_kv]
㝾	[尢𠂇工_gr_gd_bi]
㝿	[尢皮_gr_xi]
㞀	[尢𠂇火_gr_gd_uo]
㞁	[尢日匕_gr_k_rr]
㞂	[尢爫女_gr_pv_zm]
㞃	[八人口尤_o_od_j_gr]
㞄	[尢大日乚_gr_gd_k_z]
㞅	[尢日木_gr_k_f]
㞆	[尢大丁口_gr_gd_ai_j]
㞇	[尢田{畏下}_gr_ki_h]
㞈	[尢户{扁下}_gr_wm_ld]
㞉	[尢⺶工_gr_uc_bi]
㞊	[屮凵示尢_zi_zi_bk_gr]
㞋	[尸又_xm_xs]
㞌	[尸子_xm_ya]
㞍	[尸丸_xm_qya]
㞎	[尸巴_xm_yia]
㞏	[尸丿之_xm_m_w]
㞐	[尸立_xm_su]
㞑	[尸∷乚_xm_v_z]
㞒	[尸自_xm_nl]
㞓	[尸匕日_xm_rr_k]
㞔	[尸夕夕_xm_rs_rs]
㞕	[尸八⺝_xm_o_q]
㞖	[尸木冂_xm_f_ld]
㞗	[尸{于下}∷丶_xm_d_v_s]
㞘	[尸豕丶_xm_gq_s]
㞙	[尸毛水_xm_mh_kv]
㞚	[尸千臼_xm_me_nb]
㞛	[尸彳匕日_xm_oi_rr_k]
㞜	[尸彳禾女_xm_oi_mf_zm]
㞝	[戊⺊一小尸_hm_id_a_ko_xm]
㞞	[尸彳人人龰_xm_oi_od_od_ii]
㞟	[尸丷酉大_xm_ud_fd_gd]
㞠	[尸大丷日小_xm_gd_ud_k_ko]
㞡	[尸工工工工𧘇_xm_bi_bi_bi_bi_rh]
㞢	[屮一_zi_a]
㞣	[屮八刀_zi_o_yd]
㞤	[山人_ll_od]
㞥	[山入_ll_oda]
㞦	[山几_ll_qd]
㞧	[山㇡丿_ll_y_m]
㞨	[山子_ll_ya]
㞩	[山凡_ll_qda]
㞪	[⼹山_xb_ll]
㞫	[山之_ll_w]
㞬	[山工_ll_bi]
㞭	[大山_gd_ll]
㞮	[山⺈丶_ll_r_s]
㞯	[己山_yy_ll]
㞰	[山𠂉十_ll_ma_ed]
㞱	[山日_ll_k]
㞲	[山口丨_ll_j_i]
㞳	[山⺀十_ll_td_ed]
㞴	[山氏_ll_rh]
㞵	[山文_ll_so]
㞶	[山文_ll_so]
㞷	[屮王_zi_c]
㞸	[山不_ll_gi]
㞹	[山丁口_ll_ai_j]
㞺	[山矢_ll_ma]
㞻	[山口一㇉_ll_j_a_z]
㞼	[㇇水山_x_kv_ll]
㞽	[山戈㇙_ll_hm_z]
㞾	[山尸匕_ll_xm_rr]
㞿	[山土乂_ll_b_os]
㟀	[禾山_mf_ll]
㟁	[山厂一十_ll_gg_a_ed]
㟂	[山母_ll_zy]
㟃	[山㇆一口_ll_y_a_j]
㟄	[山羊_ll_uc]
㟅	[山㐅凵儿_ll_os_zi_rd]
㟆	[山亻𠤎十_ll_n_rr_ed]
㟇	[山人人土_ll_od_od_b]
㟈	[山{于下}∷丶_ll_d_v_s]
㟉	[山宀牛_ll_wd_mb]
㟊	[山爫子_ll_pv_ya]
㟋	[山丷口儿_ll_ud_j_rd]
㟌	[山尨_ll_gm]
㟍	[山丶艮_ll_s_xo]
㟎	[山爫女_ll_pv_zm]
㟏	[山人丶㇇口_ll_od_s_x_j]
㟐	[山艹亡_ll_e_sh]
㟑	[山十冖子_ll_ed_ww_ya]
㟒	[山尹口_ll_xma_j]
㟓	[山㐅𠂇巾_ll_os_gd_li]
㟔	[山人丶㇇口_ll_od_s_x_j]
㟕	[山口⺀十_ll_j_td_ed]
㟖	[山王廾_ll_c_e]
㟗	[八刀八刀山_o_yd_o_yd_ll]
㟘	[山⺆土口_ll_ld_b_j]
㟙	[山龷日_ll_ea_k]
㟚	[木十又山_f_ed_xs_ll]
㟛	[山扌甘_ll_d_eb]
㟜	[山弓⺈小_ll_yz_r_ko]
㟝	[山立口_ll_su_j]
㟞	[山戈戈_ll_hm_hm]
㟟	[山龷八巳_ll_ea_o_yyb]
㟠	[山{岡}_ll_ld]
㟡	[山龹㔾_ll_ub_yyb]
㟢	[山大丁口_ll_gd_ai_j]
㟣	[山木八厶_ll_f_o_zs]
㟤	[山⼹氺_ll_xb_kv]
㟥	[山厶大彡_ll_zs_gd_pd]
㟦	[山冖車_ll_ww_fk]
㟧	[山口口二㇉_ll_j_j_bd_z]
㟨	[山山而_ll_ll_gl]
㟩	[{巳}{七}攵山_yyb_hd_mo_ll]
㟪	[山田{畏下}_ll_ki_h]
㟫	[山白水_ll_nk_kv]
㟬	[山{叟上}又_ll_nb_xs]
㟭	[山{巳}{七}日_ll_yyb_hd_k]
㟮	[山穴大丶_ll_wo_gd_s]
㟯	[山宀夂口_ll_wd_rs_j]
㟰	[山冖日亠八_ll_ww_k_s_o]
㟱	[山⺷灬_ll_uc_uo]
㟲	[山厂白小_ll_gg_nk_ko]
㟳	[山覀木_ll_fj_f]
㟴	[山鬼_ll_nj]
㟵	[山罒一止_ll_lk_a_ii]
㟶	[山厂白小_ll_gg_nk_ko]
㟷	[山艹人一口_ll_e_od_a_j]
㟸	[山白大十_ll_nk_gd_ed]
㟹	[山耳{卬左}丿卩_ll_ce_rh_m_y]
㟺	[山{婁上}女_ll_kj_zm]
㟻	[車斤山_fk_pd_ll]
㟼	[山龶{万下}攵_ll_ci_ym_mo]
㟽	[山覀示_ll_fj_bk]
㟾	[山广肀{冃}_ll_tg_xb_ld]
㟿	[山艹大丶廾_ll_e_gd_s_e]
㠀	[鳥山_rz_ll]
㠁	[山厶厶厶人彡_ll_zs_zs_zs_od_pd]
㠂	[山龶{万下}攵_ll_ci_ym_mo]
㠃	[山亠丷{啇下}_ll_s_ud_ld]
㠄	[山习习白_ll_yt_yt_nk]
㠅	[山彳𠂉日夊_ll_oi_ma_k_rs]
㠆	[山口口日十_ll_j_j_k_ed]
㠇	[山亠口小尤_ll_s_j_ko_gr]
㠈	[山門王_ll_xd_c]
㠉	[山立日土_ll_su_k_b]
㠊	[山虍业_ll_ih_ku]
㠋	[山口口口二㇉_ll_j_j_j_bd_z]
㠌	[山其欠_ll_ec_ro]
㠍	[山隹木_ll_ni_f]
㠎	[山隹木_ll_ni_f]
㠏	[山艹一卄キ_ll_e_a_e_bi]
㠐	[山丿大口{冋}_ll_m_gd_j_ld]
㠑	[山罒非_ll_lk_kc]
㠒	[山覀示刂_ll_fj_bk_kd]
㠓	[山艹冖一豕_ll_e_ww_a_gq]
㠔	[山尸口辛_ll_xm_j_se]
㠕	[山阝鬼_ll_y_nj]
㠖	[山⺷手戈_ll_uc_md_hm]
㠗	[山{向框}米大_ll_nl_uf_gd]
㠘	[山{臼}一㇞丨八_ll_nb_a_z_i_o]
㠙	[山亠口冖豕_ll_s_j_ww_gq]
㠚	[山业⺷寸_ll_ku_uc_ds]
㠛	[山艹隹又_ll_e_ni_xs]
㠜	[山匕矢龴乛龰_ll_rr_ma_xs_x_ii]
㠝	[山二人二人貝_ll_bd_od_bd_od_lo]
㠞	[彳山一王攵山_oi_ll_a_c_mo_ll]
㠟	[山禾勹丿人氺_ll_mf_ry_m_od_kv]
㠠	[山虍田皿_ll_ih_ki_lka]
㠡	[山亠馬𧘇_ll_s_cu_rh]
㠢	[山鬼亠𧘇_ll_nj_s_rh]
㠣	[山厂禾禾止_ll_gg_mf_mf_ii]
㠤	[山亠口口{冓上}𧘇_ll_s_j_j_eb_rh]
㠥	[山田田田土_ll_ki_ki_ki_b]
㠦	[山豐_ll_ci]
㠧	[山广木木非_ll_tg_f_f_kc]
㠨	[山木㐅乂木罒{艮}寸_ll_f_os_os_f_lk_xo_ds]
㠩	[㇗人{巟下}_z_od_nd]
㠪	[工一_bi_a]
㠫	[工凡二人_bi_qda_bd_od]
㠬	[工口二人_bi_j_bd_od]
㠭	[工工工工_bi_bi_bi_bi]
㠮	[䒑业日工_ua_ku_k_bi]
㠯	[㠯_y]
㠰	[力口己_ym_j_yy]
㠱	[己其_yy_ec]
㠲	[巾匕_li_rr]
㠳	[入巾_oda_li]
㠴	[巾刀丶_li_yd_s]
㠵	[亡巾_sh_li]
㠶	[巾丿几_li_m_qd]
㠷	[巾㇋丿㇏_li_y_m_s]
㠸	[巾二人_li_bd_od]
㠹	[巾人{丿丨}_li_od_nd]
㠺	[巾小丿_li_ko_m]
㠻	[耂巾_bm_li]
㠼	[巾斤_li_pd]
㠽	[巾夂⺀_li_rs_td]
㠾	[夕㔾巾_rs_yyb_li]
㠿	[止匕巾_ii_rr_li]
㡀	[氺冂_kv_ld]
㡁	[巾大二㇉_li_gd_bd_z]
㡂	[一夕刂巾_a_rs_kd_li]
㡃	[巾㇗人{巟下}_li_z_od_nd]
㡄	[巾勹日_li_ry_k]
㡅	[巾夕夕_li_rs_rs]
㡆	[巾亡{巟下}_li_sh_nd]
㡇	[巾耳乚_li_ce_z]
㡈	[巾⺈口儿_li_r_j_rd]
㡉	[巾弓亠㇜厶_li_yz_s_z_zs]
㡊	[巾⺈臼_li_r_nb]
㡋	[巾大日乚_li_gd_k_z]
㡌	[巾⺜⺝_li_k_q]
㡍	[白大巾_nk_gd_li]
㡎	[巾厶大彡_li_zs_gd_pd]
㡏	[巾人一⺝刂_li_od_a_q_kd]
㡐	[巾䒑⺝刂_li_ua_q_kd]
㡑	[禾火巾_mf_uo_li]
㡒	[巾⺁十目_li_pd_ed_l]
㡓	[巾冖車_li_ww_fk]
㡔	[龴乛亅丿攵巾_xs_x_i_m_mo_li]
㡕	[巾艹冂大_li_e_ld_gd]
㡖	[巾千日二_li_me_k_bd]
㡗	[巾⺁虎_li_pd_ih]
㡘	[巾䒑{兼下}_li_ua_xk]
㡙	[巾{囟框}㐅匕匕_li_nj_os_rr_rr]
㡚	[巾{冓上}冂土_li_eb_ld_b]
㡛	[巾艹亡{巟下}_li_e_sh_nd]
㡜	[巾{祭上}示_li_rs_bk]
㡝	[巾辶夂丰_li_w_rs_ci]
㡞	[巾{婁上}女_li_kj_zm]
㡟	[巾卄日日_li_e_k_k]
㡠	[巾癶一口䒑_li_xs_a_j_ua]
㡡	[巾厂一口䒑寸_li_gg_a_j_ua_ds]
㡢	[巾日罒方_li_k_lk_sy]
㡣	[亠丷冖巾一㇞一乚三_s_ud_ww_li_a_z_a_z_cd]
㡤	[巾業_li_ku]
㡥	[巾爫工⺕心_li_pv_bi_xb_wz]
㡦	[巾宀一{小}貝_li_wd_a_ko_lo]
㡧	[巾穴癶一口䒑_li_wo_xs_a_j_ua]
㡨	[巾人人戈非一_li_od_od_hm_kc_a]
㡩	[龻巾_zs_li]
㡪	[巾爫尸止〢巳夊_li_pv_xm_ii_kd_yyb_rs]
㡫	[㇜厶日匃_z_zs_k_ry]
㡬	[㇜厶㇜厶戈{万下}_z_zs_z_zs_hm_ym]
㡭	[㇗㇜厶㇜厶一㇜厶㇜厶_z_z_zs_z_zs_a_z_zs_z_zs]
㡮	[㇜厶㇜厶戈人气_z_zs_z_zs_hm_od_my]
㡯	[广丿七_tg_m_hd]
㡰	[广一{于下}_tg_a_d]
㡱	[广𠂊㇏_tg_r_s]
㡲	[广戈_tg_hm]
㡳	[广氏_tg_rh]
㡴	[广立_tg_su]
㡵	[广人{之}_tg_od_w]
㡶	[广口八_tg_j_o]
㡷	[广木一_tg_f_a]
㡸	[广𠂉ㅑ_tg_ma_id]
㡹	[广且_tg_lc]
㡺	[广日一_tg_k_a]
㡻	[广{卬左}丿卩_tg_rh_m_y]
㡼	[广日㇂丿_tg_k_z_m]
㡽	[广肀二_tg_xb_bd]
㡾	[广艮_tg_xo]
㡿	[广䒑{艸左}_tg_ua_zi]
㢀	[广木冂_tg_f_ld]
㢁	[广夕夕_tg_rs_rs]
㢂	[广丿㠯_tg_m_y]
㢃	[广丶艮_tg_s_xo]
㢄	[广一口䒑_tg_a_j_ua]
㢅	[广王廾_tg_c_e]
㢆	[广日土_tg_k_b]
㢇	[广言_tg_s]
㢈	[广隹_tg_ni]
㢉	[广禾丿七_tg_mf_m_hd]
㢊	[广大丁口_tg_gd_ai_j]
㢋	[广亻夕夕_tg_n_rs_rs]
㢌	[广阝丁口_tg_y_ai_j]
㢍	[广艹冂大_tg_e_ld_gd]
㢎	[广千臼_tg_me_nb]
㢏	[广人一⺝刂_tg_od_a_q_kd]
㢐	[广咼_tg_lj]
㢑	[广隹十_tg_ni_ed]
㢒	[广虍且_tg_ih_lc]
㢓	[广立日十_tg_su_k_ed]
㢔	[广彳人人龰_tg_oi_od_od_ii]
㢕	[广㇜{亥中}隹_tg_z_zm_ni]
㢖	[广釆田_tg_pf_ki]
㢗	[广丿大口{冋}_tg_m_gd_j_ld]
㢘	[广䒑{兼下}灬_tg_ua_xk_uo]
㢙	[广廿口龶力_tg_ea_j_ci_ym]
㢚	[广虍田力_tg_ih_ki_ym]
㢛	[广人一口口人人_tg_od_a_j_j_od_od]
㢜	[广廿田心_tg_ea_ki_wz]
㢝	[广魚禾_tg_r_mf]
㢞	[广习习田龷八_tg_yt_yt_ki_ea_o]
㢟	[廴止_y_ii]
㢠	[廴{冋}_y_ld]
㢡	[爿{炙上}寸廾_zi_rs_ds_e]
㢢	[⺌{冋}攵廾_ko_ld_mo_e]
㢣	[艹勹口攵廾_e_ry_j_mo_e]
㢤	[十弋{万下}_ed_hs_ym]
㢥	[同弋_ld_hs]
㢦	[丁口丁口弋_ai_j_ai_j_hs]
㢧	[弓一_yz_a]
㢨	[弓一十_yz_a_ed]
㢩	[弓勹丶_yz_ry_s]
㢪	[弓二㇉_yz_bd_z]
㢫	[弓山_yz_ll]
㢬	[弓𠂇厶_yz_gd_zs]
㢭	[弓⺊又_yz_id_xs]
㢮	[弓𠂉也_yz_ma_yi]
㢯	[弓{巳}{七}_yz_yyb_hd]
㢰	[弓皮_yz_xi]
㢱	[弓厶小_yz_zs_ko]
㢲	[弓弓一八_yz_yz_a_o]
㢳	[弓𠂉𧘇_yz_ma_rh]
㢴	[弓囗{丿丿}丶_yz_jd_od_s]
㢵	[弓人一口_yz_od_a_j]
㢶	[弓一白_yz_a_nk]
㢷	[弓山夕_yz_ll_rs]
㢸	[弓弓攵_yz_yz_mo]
㢹	[弓辛_yz_se]
㢺	[弓立女_yz_su_zm]
㢻	[弓禾女_yz_mf_zm]
㢼	[弓氺冂_yz_kv_ld]
㢽	[弓耳弓_yz_ce_yz]
㢾	[弓覀土_yz_fj_b]
㢿	[弓亻ユ矢_yz_n_x_ma]
㣀	[弓十{且}八_yz_ed_lc_o]
㣁	[弓龷丿{甬下}_yz_ea_m_ld]
㣂	[弓一口{鬲下}_yz_a_j_ld]
㣃	[弓亠厶⺝弓_yz_s_zs_q_yz]
㣄	[弓氵匚コ木_yz_v_h_x_f]
㣅	[弓{匸}儿{匸}儿日_yz_h_rd_h_rd_k]
㣆	[弓一八巾㐅乂㐅乂王_yz_a_o_li_os_os_os_os_c]
㣇	[彑{丿丿}巾_zm_od_li]
㣈	[彑{丿丿}巾彑{丿丿}巾_zm_od_li_zm_od_li]
㣉	[工彡_bi_pd]
㣊	[夂彡_rs_pd]
㣋	[二{丿丨}丶彡_bd_nd_s_pd]
㣌	[⺊口彡_id_j_pd]
㣍	[厶口彡_zs_j_pd]
㣎	[白小彡_nk_ko_pd]
㣏	[大日十彡_gd_k_ed_pd]
