㐀	qiū
𦴅	suī
𦳤	piǎo biāo
𦳎	jū
𦴳	gǒu
𦴂	guāi kuāi
𦴙	lí lì
𦴞	tiān
𦳨	máng hè huò
𦴟	liè
𦳴	qiā
𦷘	zhèng
𧆿	yōng yóng fū
𧆾	jù
𧆽	mì
𧋜	shī
𧋝	dié
𧊫	cōng huì huǐ
𧋈	zhì
𧋟	móu máo
𧋙	cōng
𧋛	qíu
𧋯	gǒng qióng
𧋳	qióng
𧊮	gǒng qióng
𧖹	mài mò
𧖶	tǎn
𧖸	méng
𧗳	xuàn
𧗵	shuò shuài lǜ
𧚑	gé
𧚝	cái
𧚛	dǔ
𧚒	zhuāng
𧚍	qíu
𧚞	yì
𧚌	zhuāng
裞	shuì
𧚕	yí
裗	líu
𧚊	diān zhé jiē
𧚎	zhǎ qì
𧚜	chǐ tī
𧟯	kuī
𧠭	jiào jué
𧡒	mò mì
𧠵	cì cī
𧠨	mò mì
𧠮	huàn
𧣥	gōng
𧧪	shàn
𧧱	lù
𧧫	dǐ tì
𧧘	shuō shuī yuè
𧧐	shù xù
𧧳	kuā
𧧛	nán
𧧎	lòng
𧧚	shàn
𧧗	xiōng
𧧡	sòng
𧧲	dié yì
𧧈	lěi
𧧙	gào
𧧞	gào
𧧑	yàn
𧧧	lì
𧮷	jǐ jué
𧱇	sì
𧱂	huán
𧱃	sì
𧲨	jiān
𧳃	zhì
𧳇	mò hé háo
𧵪	zé zéi
𧵦	kuàng
𧵐	fù
𧵮	kuàng
𧵥	guì huò
𣣬	zī
𧵿	guǎ
賁	bēn bì fén
𧶚	shì
𧵩	zhài zé
𧵲	mào mòu
𧵯	bīn
𧵽	mǎi
𧵰	huò
𧹠	nǎn
𧻂	yuè
𧻑	xī
𧻫	qū cù cǒu
𧻛	qióng
𨀷	pán bàn
𨀞	lè yù lǜ jiàn lì lù
𨀡	tá tà
𨀗	kuà
𨀢	shān
𨀪	bài
𨀚	cù
𨀭	tí
𨀣	qì qí
𨀦	qiè
𧿿	cǐ cǎi cī
𨉀	kuā
𨉂	pìn pìng
𨈸	guā
𨈻	zì
𨈼	yùn
𨋹	wǎng
𨋱	tuī
𨑇	nóng
𨑆	nóng
𨑅	kè kē
𨕖	xuǎn
𨔧	bèng bǐng
𨕍	fù
𨔱	suì suí
𨔞	dào
𨔬	dá tà
𨕏	lián
𨔫	tuì
𨕓	nì è wù
𨕑	dì tī
𨕔	huán xuán hái
𨔩	cōng zōng
𨕐	yuàn dào yán
𨔟	yóu
𨔲	suì suí
𨔪	yùn
𨔝	dòng
𨔨	chā shà
𨔮	sòng
𨔭	liè
𨚼	yù dū dōu
𨚻	qí
𨚽	nián jù
鄑	zī jìn
𨝇	kuāng
𨝁	xún
𨜮	xiāng xiàng qīng
𨝉	suǒ
𨠮	xù
𨠧	èr nì
𨥻	jué
𨥳	qí
𨥵	zhèn
𨥩	qián
𨥹	bào
𨥲	qiōng
𨱶	nǎo
𨱷	dié
𨱴	lù
𨱳	fǎ
𨴂	kāi
𨳾	yòu
𨴁	chǎn
𨳹	guān
𨳴	nǐ mí
𨻓	péi
𨻘	bì
𨻐	dì de
𨻋	xí
𨻎	líng
𨻅	jùn
𨻦	lóng
𨻔	yīn yìn ān
𨽶	huà
𨾢	qiǎo
𨾮	xùn suī
𨾨	tǒu
𨾣	wù mù
𨾧	mín
𨾖	zhèng zhēng
𨾩	bó bá
𨾥	wǔ
𨾯	rú
𨾫	lí
𨾪	fū
𨾦	chī
𨾠	qín
𩂘	xiá shǎn
𩇛	qīng
𩇶	wǒ ě
𩈌	dān
𩉨	gǔ
𩉣	miǎn
𩉦	hóng
𩉤	jiāo
𩉪	róng rǒng
𩉩	gǔ
𩐂	xiè
𩑪	yí
𩑞	rǎn rán
𩑨	kū
𩑩	lèi
頋	ě
𩖧	biāo
𩖮	bá xín
𩖳	xià jiǎ
𩚜	yǐn yìn
𩚩	hú
𩚶	zhù
𩚳	fàn
䬳	bǎn fàn
𩚸	tiè
𩛀	tí
𩚿	yù
𩚺	tiè
𩚨	tí
𩠼	xiāng
𩡲	rì
𩡱	fēn
𩡵	bǎo
𩡳	zhí
𩨕	yà
𩨖	wěi
𩨛	zé
𩱿	mèi
𩱽	wèi
𤋳	yú
𩵐	qī
𩾛	jīu
𩾜	lì fú
𩾖	fú
𪊋	lù jǐ
𪋽	miàn
𪋼	qú
黹	zhǐ
𣦋	chǐ
𠄈	lìn
𠄇	lào luò
𠎢	xīng xìng xíng háng hàng
𠎯	dàng
𠎂	jìu
𠍻	chóu
𠍴	qiān jiàn
𠍶	rú
𠎹	ài
𠎞	qī yī
𠎱	qiān
𠎡	miǎn
𠎲	chǔn
𠍮	chuí
像	xiàng
𠍸	zhòng
𠍺	xià
𠎃	sǎn
𠎚	lún
𠔱	yì
𠕩	bǐ
𠕨	jì
𠖜	yān
𠘄	yìn
𠚙	jī
𠟇	shèng
𠟆	zàn zǎn cǎn
𠟜	qiān
𠟄	lì
𠟘	jiǎo
𠟔	zé
𠟟	fá
𠟑	fá
𠟐	chuāng chuàng
𠟖	xì
𠟏	cuò
𠢭	jué
𠢯	lù
𠢧	shèng shēng
𠣽	jìu
𠥛	wéi
𠥚	gòu
𠨇	chéng shèng
𠪝	diàn
𠪛	shù
𠪫	fá
𠪤	shù
𠪜	shù
𠪞	cuò cù xí
𠪥	yuán yuàn
𠪪	zuī chuí
𠪦	qiè kè
𠬎	jī
𠭾	sì
𠭼	ruǎn jùn
𠻮	sè jùn ruǎn
𠻕	chuì chuài zuō
𠻩	diào tiǎo
𠹂	qí cí zǐ
𠻢	hū
𠼣	chuò
𠻔	jué xuē
𠻣	sǒu zú
𠼕	bài bei
𠻯	zhā zhá
𠻰	fù
𠻖	xīng
𠻶	mò
𠼜	niè
𠻘	jiáo jué jiào
𠻛	sǒu zú
𠻭	kǔn hú
𡐑	mù
𡈕	juàn quān quàn juān
𡈘	mào mò
𡈚	zuì
𡈟	kàn kān
𡈖	tú
圗	tú
圖	tú
𡏰	fèn
𡐉	tái
𡐛	qiàn
𧯧	kǎi
𡏶	fén fèn
𡏴	yín
𡎵	zhài
𡐐	bèng péng
𡏲	xì jì
𡐕	bēi pì bì pí shàn
𡏳	jǐn jìn
𡏸	zhì
𡔹	yī
𡔻	wā
𡔶	hú kǔn
𡐎	hú
𡕲	shèng zhà
𡕴	fù
𡖹	chā fù
𡖷	yín
𡖸	huǒ
𡙲	běn
𡙫	sǎn
𡠝	guī zuī
𡠷	nì
𡠢	lù
𡡃	tiào tiǎo
𡡍	xuán xuàn
𡠸	xū xù
𡡛	chéng shèng
𡡹	piè
𡠛	nuán nán
𡦑	guī
𡩻	jìn jīn
𡪔	qīn qìng
寧	níng nìng
𡪖	mì
𡩿	sè sài sēi sāi
𡪏	xuān
𡪄	zhù
𡩼	guǎ
𡪎	mèng
𡪐	diàn
𡪘	mí mǐ
𡪃	ào yù
𡪀	yí
𡪓	bǎo
𡪂	lí xī bīn bìn
󿿰	shòu
𡬽	piào
𡭁	lù
𡮡	mó ma má me mǒ
𡮟	guān guàn
𡰊	gǔ
𡰍	lǒu
𡳈	shùn
𡳉	shùn
𡳇	liáo
𡳍	qú
𡴥	chī lí
𡺱	máo wù
𡻜	zhì dié
嵼	chǎn
𡻥	mǐ
𡻴	líng jùn léng
𡺿	líng léng jùn
𡻛	duī
𡻲	mù
𡻦	ruò rě
𢀂	liè
巢	cháo
𢄥	yì
𢄘	zhú
𢇏	yí
𢊝	huī
𢊨	nú nǔ
𢍨	fèn
𢍦	wú wū
𢎑	dài
𢐓	qiāng
𢐕	chāo
𢐝	bì
𢐙	gòu
𢑫	zhòu
𢑨	yì sì
𢑪	gǒu
𢑭	wèi huì
𢑩	yì
𢒪	biàn
𢕗	jì
𢕒	fù
𢕐	xuàn
𢕧	wéi wēi
𢕏	bì
𢕛	fù
𢕜	yù yà
𢕝	fēng
𢠟	xié
𢞝	qiān sè hán hán
𢞱	jí
𢞰	mǐn
𢞔	nì
𢟃	kǒng
𢞯	huì
𢞨	huì
𢟜	yōu
𢞘	yōu
𢟄	nǜ
𢞤	nì
𢞫	tì
𢞪	guàng
𢞥	lǎn
𢟫	mǐng
𢟦	gǔn gūn
𢟷	fān
𢟸	huò
𢟼	méng
𢟺	liáo
𢟠	fèn
慺	lóu lǚ
𢟶	jù
慌	huāng huang
𢟡	bèi
𢧬	chǔn
𢧢	jǐ
𢧹	huì wèi
𢱯	lǎn
𣩌	fèng
𢲻	cuō cuò zuó zuǒ zuì
𢳡	mì miǎn
𢴀	suō
𢳘	yáo
𢳖	gèn gèng gēng
𢳢	lǎn
𢲳	sā sǎ niǎn
𢳒	miè
掩	yǎn
𢳎	bài
𢳐	chè
𢳕	jí
𢲹	chī
𢲺	niè niē niǎn
𢳏	chōu
𢻛	lǔ
𢾭	fū
𢾸	zòng
𢾶	shèng shēng
𢾵	yǔ
𢾯	rù
𢾴	tà
𢾷	zhēng zhǐ
𢾨	lí
𢾹	zhào
𢾾	fū
𣂂	yǔ
𣂼	jǐn qín
𣂸	duàn
𣂶	shì
𣂹	zhé zhē shé
𣄐	huǎng
𣈧	wǎng wàng
𣉰	huì
𣉫	yáng
𣉺	táng
𣉬	zhào
𣉭	méng
暜	pǔ
𦟁	máng huāng mèng wáng
𣎍	zhāo cháo máng huāng mèng wáng
𣎐	líng
𣖶	mù
𣘐	jí lì
𣘒	gàn hán
𣖺	lǚ
𣖽	qīn qǐn
𣘅	fù
𣗂	chǔ
𣘇	héng
榣	yáo
𣗴	lì
𣗷	juàn quān
𣘑	qǐng
𣣵	yáo yǎo
𣣻	kǎn
𣤀	chuǎn chuán
𣤂	kuǎn
𣣾	è yǎ yā
𣣽	qīn
𣨷	huò
𣩉	yì
𣩋	cú
𣩆	míng mǐng
𣩇	fǔ
𣪳	hù huò
𣪲	záo zuò
𣪰	wān
𣪷	huǐ
𣬑	hùn
𣯟	bǎng
𣯓	bǎng
𣯕	máo lí
𣯛	máo lí
𣯈	tà
𣯉	dié
𣯢	suō
𣯊	bǎng
𣯑	mào qú
𣯒	qú mào
𣯝	cuì
𣹳	líu
𣼡	jìn jīn
𣻰	jū wéi
𣼻	hū
𣼢	liáo
𣼣	lòu
𣻨	niào
𣻝	qiǎn
𣼛	mǎn
𣻭	dàng
淹	yān yàn
𣻲	zī
𣼝	dí
𣻦	hán hàn
𤌓	xuǎn guàn
𤌕	duò
𤌖	chǎo
𤌼	huáng
𤌜	tiàn yǎn
𤌺	jiān jiàn
𤌽	chǎo
𤎚	liào liǎo liáo
𤌝	chǎo
𤌉	chǎo
𤌈	bì
𤌻	guà
𤔢	sāo
𤔦	luàn
𤔥	cháo
𤔤	ài
𠎛	shuǎng
𤖏	jí
𤖐	bài
𤗦	gé
𤗣	dié
𤗥	yè niè
𤘑	gāi ái
犕	bèi
𤚮	chún rún
𤚾	zhèn
𤚴	mǔ mǒu zhuàng
𤚳	jiān qián
𤚑	shè
𤛂	wéi
𤚶	wū
𤚲	gòu
𤡗	sōu
𤠻	dí
𤡘	hǎn
𤡑	piào piāo
𤡁	mán màn wàn
𤠹	zhì
𤡙	shǎn shān shàn sāo
𤡅	shǎn shān shàn sāo
𤧺	xuān
𤧪	chēn
𤧯	wán
𤧲	pá ba pā
𤧰	pí
𤬈	hóu gōu
𤭰	zhòu
𤭪	chuǎng shuǎng
𤭳	guó
𤭨	tuó
𤯈	zhè
𤯲	lóng
𠭻	yōng yóng
𤲮	chóu
𤲫	tuǎn
𤲵	zhì
𤲯	huà
𤲲	fèn
𤴞	xià
𤸃	shòu
𤸟	zhì
㾬	jiē
𤸂	shòu
𤸙	è kè kài
𤸘	diān
𤸢	nǎo
𤸇	lóng
𤸍	zhài chái
𤸌	yìn
𤸞	chì
𥀊	wéi
𥀋	zī
𥀇	má
𥀄	hòu
𥂄	jiàn
𥈔	yǎn yàn
𥈅	tiǎn miǎn
𥈎	xiā
𥂅	chuàng
𥈪	zūn
𥈍	shēn
𥍾	róng
𥍶	hóu
𥏬	táng
𥓼	qú
𥔈	tí tì
𥔃	wěi wēi
𥔐	kē
𥔅	jiè
𥔆	xí
𥓺	máo wù
𥛇	dǎo
𥛀	jìn jīn
𥛃	shén
𥚧	bēng fāng
𥚨	chái
𥚫	yàn
𥛁	quàn
𥚪	zhāi
𥛈	dǎo
𥝃	fèi
𥠂	suì
𥠎	jì
䅨	xiāng
𥠢	shòu
𥠇	mù
𥠌	lǐn
𥧊	kū
𥦼	zhè
𥦾	chuāng
𥦽	shí
𥥼	jué
𥦻	cuàn
𥦹	yú
𥧅	tián diān chán yǎn míng mǐng
𥪙	xū
𥮓	qián
𥮔	tuán zhuān
𥮩	mǎn
𥮠	qián
𥮦	lǚ
𥮫	cè lè chǎi
𥮫	cè chǎi
𥮞	suǎn
𥮛	tāo
𥮑	gāo
𥮙	jiàn
𥺶	shǐ xī
𥺸	xǔ
𥺘	bì
𥺛	bài
𥺳	xǔ
𥺢	bèi
𢊪	kāng
𥺠	mián
𥺟	bì
𦁰	qí
𦁔	tiān
𦁱	xù
𦁥	zhǐ
𦁑	jiē suī
𦂝	qì qī
𦁡	xǐ shǐ
𦁚	jì
𦁴	shēn
𦁌	jīn
𦁋	zhī
𦁞	ruǐ
𦁘	sù
𦁓	zhī
𦁒	wǎng
𦈹	dàng dǎng
𦋖	zhuó
𦋧	shǔ shù
𦋗	shèn lín
𦋘	zhì
𦋙	yǎn
𦋚	zhào
𦋛	zuì
𦋜	zhào
𦋠	xuǎn
𦋤	shì
𦋝	luó
𦋵	fú
𦋱	jī
𦎙	yòu
𦑐	huì
𦑉	xuān
𦑢	dào
𦓗	fú
𦔁	jú
𦓷	yún
聠	pīng
𦖌	tiǎn
𦖜	xū
𦘟	zhào
𦘞	yì
𦜽	yān
𦜿	hàn xiàn
𦜑	qǐ
𦝙	xí là
𦜾	zhì
𦝘	kuì juàn quān
𦠀	zhè
𦞶	fù
𦞪	zhēng
𦞯	shì
𦟀	luó
𦞩	yìn
𠬐	qí
𦣮	gū
𦥷	xīng xìng
𦥹	yú
𦥺	yāo yào
𦥽	chōng
𦥿	yán
𦥸	yǔ yù yú
𦥾	pò
𦧦	cí
𦩎	zhèn
𦩙	zhōu zōu
䑫	bēng
𦩊	yì
𦫣	pǎng
𦫞	yán
𦫢	yàn
𦱴	mò mù
𦲬	má
𦱡	ruò
𦱢	ruò
𦱶	ruò rě
𦱺	sāng sàng
𦱹	gòng gōng gǒng
𦵤	guān
𦺁	yì yè
𦷟	xiē shāo
𦶄	dá niè
𦶒	gē hé hè
𦵹	tǎn
𦷞	cā cài
𦶘	juǎn
𦷡	kuí
𦵫	suǒ
𦵲	qǐn
𦶁	fén
𦷠	ráng náng
𦵥	wèi yù
𦶗	jú
𦶪	róng rǒng
𦷓	xiá jiē
𦶫	shè yè sāng
𦵮	xuē
𦶬	jùn suī suǒ
𦵶	zhú
𦵻	qiàn
𦶭	lì
𦳕	cǎo
𦶔	qú
𦷗	jiāng
𦵰	zī zāi
𦷕	lǔ
𦷱	jiàn
𦵺	tà
𦵨	wéi
𦶖	lěi
𦵳	jú
𦶮	yún
𦷚	xǐ
𦶯	xuè
𦶰	bī pí bì
𦷛	duō bēng
𦵢	nòu hāo nóng
𧇂	hǔ
𧇇	cuō cuó
𧇅	mì
𧇃	bīn
𧇆	jù
𧋞	dié
𧌕	yóu
𧌨	xī
𧌡	shī
𧌭	hǔ yí sī
𧍑	wǎng
𧌫	hóng
𧌤	hàn
𧌵	liè
𧌟	qíu dǒu
𧌒	yù
𧎀	xī sī
𧌩	cán
𧌪	gǒng
𧌛	fù
𧌜	jiāng
𧌦	máng méng
𧖾	hàn kàn
𧗄	jiān jiàn
𧖽	méng
𧗺	qiān
𧗻	yù
𧚱	bāo
𧚲	liè
𧚰	zhuì
𧚹	gǔn
𧚦	dié
𧚽	bì pí
𧚶	cái
𧚸	bēng běng bèng
𧚴	qiǎng
𧚳	zhì
𧚧	jiá qià
𧚮	diǎo
𧚼	hán hàn
𧟲	bà pò
𧟳	bà pò
𧟴	gēng
𧠻	ér xiàn èr
𧡀	dōu
𧡆	chēn
𧣰	xuān xī
𧣮	qíu
𧣨	zhì
𧣱	hú
𧣫	chuò chù
𧣯	chì shì
𧧼	yì yí
𧨠	xiǎo sǒu
𧨉	wàng
𧨃	xì
誠	chéng
𧨙	tiǎo diào
𧨤	niè
𧨛	hěn
𧨝	xiòng
𧧽	fēng
𧨞	xì
𧧴	hàn
𧨁	jiē chài cuò jiè juē
𧨅	shàn
𧨣	nè nà
𧧿	jiào jiāo
𧯪	bī biǎn
𧱍	zòng
𧱎	dòu
𧱖	huán
𧱗	kěn qiǎn
𧱑	cú chú
𧱕	yì
𧱔	tún
𧳋	zhì
𧳔	huán
𧳑	dòu
𧳒	mào
𧳊	xiè
𧳖	mào
𧶋	chè
𧶈	suǒ
𧶅	huì huǐ
𧶉	bīn
𡪛	bīn
𧶻	mào mòu
𧶌	zhài zé
䝴	jī
𧻬	qū cù chí cǒu
𧻯	jué
𧼉	yuán
𧼀	qū jū qiè
𧼝	qù cù
𧻽	qù cù
𨁜	fū
𨁕	dí cù
𨁞	gēn
𨁣	kuà
𨁓	tiào
𨁢	fān fán
𨉉	pí
𨉊	pí
𨉌	cù
𨉍	mào
𨌊	ní
𨌯	yù
𨌡	lǐu
𨌇	zhú zhóu zhòu
𨌉	xuàn
𨌂	kuáng
𨌖	jí
𨌃	kuáng
𨌋	qǐ
𨌏	zǎi zài
𨕨	jiān jīn
𨕞	qiān
𨕝	bū
𨕣	wù è
𨕟	cè cì sì
𨕤	jí
𨕸	wéi
𨕡	zào cào
𨕩	sòng
𨕥	dào
𨛚	zài
𨛦	jùn
𨛛	huí
𨜹	dōu dòu
𨝗	shāng
𨝕	gé hé
𨝥	láng
𨝡	xù
𨝔	zhēng
𨡅	mí
𨠾	dài zài zuì
𨤒	wéi wèi
𨤓	juàn
𨤬	jǐn
鋘	wú
𨦝	pī
𨦅	shài shā
鋗	xuān
𨦟	fēng
𨦣	ruì
𨲂	niǎo
𨲃	zōng
開	kāi
𨴝	chǎn
𨴔	pì
𨴟	chù
𨴠	chù
𨹇	dào
𨻉	dòu dǒu
𨻹	ài è
𨼆	yǐn yìn
𨻰	chén zhèn
𨻸	xí
𨻯	gāi ái
𨻽	xí
𨻾	lěi
𨾸	liè
𨿀	jú jìu
𨿃	rén
𨾵	rú
𨾶	ān yàn
𨿉	chú
雃	qiān
𨾽	chī
𨾺	wū
𨾿	ér
𨾳	yù
𨿆	ài
𨾲	zhū
𨾼	guǐ
𨾷	xiǎn
𨾹	jìu
𨿈	shòu
𩂳	líng
𩂬	diàn
𩂩	léi
𩂭	chǔ chù
𩊉	gǔ
𩊋	bāo páo
𩉻	tuó
𩊈	yì
𩎝	wǎn
𩒆	dǐng
𩒋	pò
頋	gù
𩑱	fǎ
𩑲	yòu
𩒁	hái gǎi
𩒌	huì mèi mò
𩒉	zhěn
𩖻	hòng
𩗁	sà
𩖶	xuè
𩛁	bǎo
𩚴	yuè wān
𩚷	lì
𩛈	sūn
𩛓	xùn
𩛐	ní
𩚰	fēn
𩛊	bǎo
𩛍	duī
𩠕	fǎ
𩠙	fǎ
𩠗	jiá
𩡀	bié
𩡼	pián
𩡸	shī
𩡹	yì
駂	bǎo
𩢉	lǘ
𩡽	zhuàng
𩨣	fáng fāng
𩨤	dǐ dì
𩨦	hé jiá xiè
𩨢	hé jiá xiè
𩨧	hé jiá xiè
𩫉	hè
𩫃	yóng yōng guō
𩬊	fǎ
𩬋	xīu pēi fù
𩬄	jié jì
𩬃	fǎ
𩬁	kuò yuè
𩬉	jiè
𩰏	fēn
𩰮	guō
𩲑	mèi
𩲙	kuí
𩲞	guǐ
𩲐	mèi
𩲔	kuí
𩲝	mèi
𩲘	mào
𩲛	wǎng
𩲜	huà
𩲚	guǐ
𩵔	tuó
𩾟	què qiāo qiǎo
𩾣	xiāo
𩾤	gǔ hú
𩾥	gǔ hú
𪐗	hēi hè hěi
𪐛	qíng
𪐙	pū
𪓑	mǐn
𡔷	gǔ
𠁕	kǔn
𠆂	shuāi cuī suō
𠆉	qì
𠆇	ào yù
𠎾	jiǎn
𠎽	qióng
𠏊	lì
𠏔	cù
𠎼	biāo piào piāo
𠏄	zhēn
𠏁	huà
𠏂	dì
𠏗	liáo
𠍰	zhì
𠎺	guī kuǐ
𠏣	yù
𠒱	pì bèi
𠒶	lù
𠕬	mào mò
𠘍	lì
𠘇	hé hè
𠟱	huà huá huò
𠟵	jù jí
𠟭	zé
𠟯	jiǎo zǎo
𠟫	lì
𠟬	chuā
𠟮	jì jié
𠠇	zhuó
𠧄	gàn hán
𠨈	xiè
𠪳	hǔ hū
𠪭	áo
𠪰	yuàn
𠬑	qù
𠆊	kǔn
𠾃	shāng
𠽺	yín
𠾂	sè
𠾰	yè yān yàn
𠾯	xiāo
𠽯	dī
𠽢	bó
𠽥	yè yān yàn
𠾁	yì
𠽤	jǐ
𠽳	pán
𠽮	dī
𠽧	dié xì
𠽴	chuǎn
𠽽	níng
𠽸	xiāo
𠾅	yāo yào yín
𠾪	yuàn
𠾈	yóu
𠾦	bēi
噑	háo
𠾊	tuò
𠾄	shàn
𡈤	yuán
𡈢	kǔn jūn juàn
𡐲	yīn
𡑛	jiào
𡑏	dǎo
㙧	lìu
𡐦	huī duò
𡐾	tí dī
𡑂	ruán
𡑇	è
𡐢	fèn
𠚛	kuài
𡑊	duǒ
𡐟	ào
𡑉	fù
𡐫	zǐ zi
𡐳	jǐn jìn
墬	dì de
𡐪	chén
𡐨	yě
𡔽	shòu
𡔼	tái
𡖿	huǒ
𡙹	zòu
𡚀	gǔn
𡙼	biè
𡙺	zǎi zài
𡙸	duó
𡢂	zhì
𡡜	lì lí
𡡚	mèi
𡡋	lóu lǚ
𡡼	lóu
𡡿	dí
𡠟	zhú
𡢉	rú
𡢋	nǎo
𡡾	mèi
𡡽	hàn
𡡓	xū
𡪟	xīng xǐng
𡪼	kāng
𡪥	xiǎng xiàng
𡪆	xiǎng
𡫜	hán
𡪤	zǎi
𡪶	hān
𡪢	qǐn
𡪴	sù xǐu xìu
𡭈	líu
𡭆	zūn
𡮧	jì
𡰔	jìu
𡳡	zòu
𡳐	lǚ
𡴦	xūn xùn
𡴨	zòu
𡴩	běn
𡼯	dān
𡼍	dàng yáng
𡼥	jiàn
𡼔	kōng lóng yáng
𡼋	qí
𡼑	è
𡼰	è
𡼙	huà
𡼶	cān cēn
𡼐	mín
𡼕	jùn
𢀃	zài zǎi
𢀩	cī chā chà chāi chài cuō
𢁌	xùn sùn
𢄾	méng
𢄴	nuǒ
𢅂	chóu dào
𠟳	píng
𢇍	jué
𢇑	jué
𢇒	jí
𢊭	zhì
𢊺	lìu
𢋁	jìu
𢊴	lián
𢊼	qǐng
𢍬	yán yín
𢎒	zēng
𢐡	bì
𢐤	bì
𣼙	mèi
𢒭	biàn
𢒮	mù
𢒫	xún xín
𢒬	yǐng
𢕰	zūn
𢕶	fù
𢕱	yuǎn yuàn
𢟬	wèi
𢠜	bèi bó
𢟻	nǎn
𢟮	mán mèn
𢣢	xié
𢟽	mù
𢠞	huì
𢠻	tuì
𢡊	qiān
憯	cǎn
𢡽	xí
𢡖	cǎn
𢡄	cǎn
𢡋	gāo
𢧺	zǎn
𢧨	chǔn
𢧸	chǔn
𢧿	cáng zàng
𢧷	guó
𢧶	hū
𢧾	chì
𢨇	dài
𢩝	líng
𢳔	suō
摩	mó mā
𢳅	chè
揅	yán
𢳉	jū
𢵍	zhé
𢴶	niǎo
𢴵	shàn yàn
𢶈	dǎo
𢴥	huì xuě zuì
𢴡	qiān kēng
㩅	chōu
𢴿	diào
𢴻	sǎ sā
𢴤	chēng
𢵃	zǒng
𢵎	yàng
𢵏	jiān jiǎn qiān
𢵄	cuò
𢵀	xún sǔn
𢵁	bīng
𢴹	chuí
𢴫	là liè
𢻝	biàn
𢻞	sàn sǎn
𢿍	xī chí lí
𢿋	zhěng
𢿛	qū ōu
𢿘	shuò shǔ shù cù sù
𢿙	shǔ shù shuò cù sù
𢿒	guàn
𢿊	tián
𢿑	qiè
𢿔	shā shài shà
𢿹	shā shài shà
𢿐	lì
𣁞	ruò rè
𣁝	cǎi
𣄔	piāo
𣊄	wèi yuè
𣊛	cáo
𣊂	zhōng
𣉽	chī
𣉼	ài
𣊙	zhàn
𣊚	yè
𣊕	zhào
𣉻	zhì
𣊆	kě
𣍈	fēng
𣎒	chéng
𣖲	cí
𣙂	juàn juān
𣙲	pāo pào
𣘕	cén chén
𣘰	gèn gèng
𣙃	zhè
𣙳	shū
𣘭	xiá
𣘡	suō
𣘜	chī
槪	gài
𣘩	xǐ zhǐ sì
𣘳	hú
𣤐	yū xù yù
歔	xū
𣤍	yáo yǎo
𣤑	gē
𣤒	gē
𣤗	yǐn yìn
𣤉	dàn kǎn qiàn
𣤏	yú
𣦘	qū
𣦔	zhēng zhěng
𣦙	duàn
𣦕	duàn
𣦗	chǐ
𣩐	suō sù
𣩍	lù
𣩗	lèi
𣩖	shuāi cuī suō
𣬒	shì shǐ
𣯰	jié
𣯮	jié
𣯥	jié
𣯫	lǘ
𣯲	jú
𣯦	jì
𣯷	máo lí
𣰉	chǎng
𣱪	zhòng
𣹹	miè
𣻯	yǐng
𣻤	líu
𣻣	shè
𣽬	hán
𣽧	jìn jīn
𣽢	yì
𣽘	chéng
𣽩	líu yóu
𣾫	sè
𣽗	zhuō
𣾭	táo
𣽔	yīn yān
𣾮	diàn
𣽶	gǔ
𣽏	wū
潮	cháo
𣽐	gé
𣽽	shān
𣽄	jì
𣾣	tà
𣽑	tà
𣽓	liáo
𣽞	guǐ
𣽠	bǐ piē piào pì
𣽇	cóng zhōng
𣽞	guǐ
𣾅	jiān
𣾬	yuān
𣽵	còu
𣾨	méi
𣽃	dàn tán
𣽜	xiè
𣽣	gǎng
𣽪	méi
𤌒	wēi
𤍘	bīn
𤍾	cuàn
𤎨	bó
𤌑	biāo
𤍙	xián xún
𤍚	wàn
𤍧	yǐng
𤍔	qǐng
𤍛	xiè
𤏰	bó
𤔩	jué guó
𤔬	luàn
𤔪	luán
𤔧	cí
𤕧	níng
𤕨	ěr
𤖕	jiàng
𤖚	yì
𤗮	zhá
𤗱	yǒu
𤗩	bèi
𤛋	táng
𤛟	bèi
𤡎	xiàn
𤡻	chēn
𤡼	líu
𤢃	xiāo
𤡫	lì
𤡦	yán xiàn
𤢠	xiē liè gé
𤢅	rán
𤢢	ráng
𤧬	wàn
㻨	wàn
𤧧	xī yī
𤨘	bān
𤨺	chēn
𤨚	zhǎo
𤨸	mén
𤩁	qú
𤨛	cuō cuǒ
𤨔	huán
𤨜	láng
𤨝	sè
𤬒	wēn
𤬍	yáo
𤬇	yáo
𤭾	zhēn
𤭿	nà
𠪹	méng
𤮀	cí
𤭺	gāng
𤯳	sū
𤲹	zhuó
𤲻	gōng
𤲽	jiào xiào
𤲷	qiáng sè
𤲿	huà
𤴡	zhì dì
𤸺	ké kài
𤸽	yì
𤸶	bèi
𤹉	xià shà
𤺁	shòu
𤸿	dù duò
𤹍	yàn
𤸾	zì jì
𤸰	yīng
𤹏	luán lüán
𤼷	dēng
𤾘	hào
𤾙	cāng
𥀑	zī
𥀍	pí
𥂈	bū bù
𥂊	hé
𥉢	cuó
𥉗	mào
𥉂	huāng
𥈐	zì
𥉍	chī
𥉚	shuì
𥉦	mián
𢡾	miǎo
𥉏	kān kàn
𦋹	mò
𥎇	láng
𥎄	qiāng chēng
𥏴	jí
𥏵	líu
𥏲	shāng
𥕅	qū jǔ zǔ jū
磌	tián zhēn
𥔵	cí
𥓽	zhài
𥔰	pào
𥕃	chěn
𥕆	lì
𥔳	què
𥛆	jīn
福	fú
